time,value
1769808664.5613413,1.0
1769808664.6268525,1.0
1769808664.6928854,1.0
1769808664.7610345,1.0
1769808664.8309011,1.0
1769808664.8977933,1.0
1769808664.964231,1.0
1769808665.0318017,1.0
1769808665.0985553,1.0
1769808665.1657906,1.0
1769808665.233258,1.0
1769808665.3000336,1.0
1769808665.3670309,1.0
1769808665.4361322,1.0
1769808665.5138304,1.0
1769808665.594937,1.0
1769808665.6754508,1.0
1769808665.7558446,1.0
1769808665.837118,1.0
1769808665.9197276,1.0
1769808666.0001261,1.0
1769808666.0800092,1.0
1769808666.16,1.0
1769808666.2402382,1.0
1769808666.3218312,1.0
1769808666.4029655,1.0
1769808666.488065,1.0
1769808666.5677748,1.0
1769808666.6476307,1.0
1769808666.7272837,1.0
1769808666.8071861,1.0
1769808666.8898048,1.0
1769808666.9709694,1.0
1769808667.0506923,1.0
1769808667.1311457,1.0
1769808667.2110436,1.0
1769808667.2909963,1.0
1769808667.3738086,1.0
1769808667.4574337,1.0
1769808667.5399756,1.0
1769808667.6202524,1.0
1769808667.700392,1.0
1769808667.7804365,1.0
1769808667.8605762,1.0
1769808667.940609,1.0
1769808668.0208158,1.0
1769808668.1008391,1.0
1769808668.1809416,1.0
1769808668.2608619,1.0
1769808668.3418102,1.0
1769808668.4227448,1.0
1769808668.5076675,1.0
1769808668.58773,1.0
1769808668.6688092,1.0
1769808668.748268,1.0
1769808668.8285553,1.0
1769808668.908727,1.0
1769808668.9898338,1.0
1769808669.069665,1.0
1769808669.1496818,1.0
1769808669.2300973,1.0
1769808669.3105917,1.0
1769808669.3909137,1.0
1769808669.4726775,1.0
1769808669.5524576,1.0
1769808669.6322668,1.0
1769808669.711991,1.0
1769808669.7918851,1.0
1769808669.8717885,1.0
1769808669.9517393,1.0
1769808670.0321465,1.0
1769808670.1122,1.0
1769808670.1923747,1.0
1769808670.2728434,1.0
1769808670.353289,1.0
1769808670.4340687,1.0
1769808670.531827,1.0
1769808670.6093102,1.0
1769808670.6895988,1.0
1769808670.7697265,1.0
1769808670.850201,1.0
1769808670.930474,1.0
1769808671.0106294,1.0
1769808671.0907803,1.0
1769808671.170967,1.0
1769808671.25127,1.0
1769808671.3319068,1.0
1769808671.4119327,1.0
1769808671.4918742,1.0
1769808671.5719903,1.0
1769808671.6522453,1.0
1769808671.7324505,1.0
1769808671.81298,1.0
1769808671.893225,1.0
1769808671.974125,1.0
1769808672.0545857,1.0
1769808672.134783,1.0
1769808672.2158105,1.0
1769808672.29587,1.0
1769808672.3767095,1.0
1769808672.4577322,1.0
1769808672.5449336,1.0
1769808672.6246703,1.0
1769808672.7048984,1.0
1769808672.7851577,1.0
1769808672.8655539,1.0
1769808672.933958,1.0
1769808673.0000465,1.0
1769808673.066573,1.0
1769808673.1332672,1.0
1769808673.199994,1.0
1769808673.266275,1.0
1769808673.3328273,1.0
1769808673.399964,1.0
1769808673.4666822,1.0
1769808673.5330617,1.0
1769808673.5996761,1.0
1769808673.6659446,1.0
1769808673.7323751,1.0
1769808673.798686,1.0
1769808673.8648634,1.0
1769808673.9312983,1.0
1769808673.9975932,1.0
1769808674.0635471,1.0
1769808674.1296375,1.0
1769808674.1997724,1.0
1769808674.2968116,1.0
1769808674.3628695,1.0
1769808674.4297736,1.0
1769808674.501768,1.0
1769808674.5757775,1.0
1769808674.6423173,1.0
1769808674.7086475,1.0
1769808674.7753437,1.0
1769808674.8418605,1.0
1769808674.9083197,1.0
1769808674.9747396,1.0
1769808675.0411735,1.0
1769808675.1076639,1.0
1769808675.1747787,1.0
1769808675.2482972,1.0
1769808675.3149033,1.0
1769808675.3810327,1.0
1769808675.4486992,1.0
1769808675.514697,1.0
1769808675.5810523,1.0
1769808675.647566,1.0
1769808675.714122,1.0
1769808675.780561,1.0
1769808675.846904,1.0
1769808675.9131901,1.0
1769808675.9794595,1.0
1769808676.0462108,1.0
1769808676.1124916,1.0
1769808676.1793654,1.0
1769808676.2456229,1.0
1769808676.3157718,1.0
1769808676.382104,1.0
1769808676.4501953,1.0
1769808676.5165513,1.0
1769808676.58407,1.0
1769808676.6502407,1.0
1769808676.716735,1.0
1769808676.7829485,1.0
1769808676.8490906,1.0
1769808676.9152794,1.0
1769808676.9818084,1.0
1769808677.0481656,1.0
1769808677.1143951,1.0
1769808677.1813414,1.0
1769808677.247457,1.0
1769808677.3143466,1.0
1769808677.3804526,1.0
1769808677.4481251,1.0
1769808677.5159225,1.0
